Taxa,Latitude,Longitude
C. hypargyrum Qinling lineage,33.968,107.784
C. hypargyrum Qinling lineage,33.874,108.802
C. hypargyrum Qinling lineage,33.821,108.603
C. hypargyrum Qinling lineage,33.967,107.767
C. hypargyrum Qinling lineage,33.821,108.602
C. hypargyrum Qinling lineage,34.54,107.69
C. hypargyrum Minshan lineage,32.866,104.055
C. hypargyrum Minshan lineage,32.88,104.05
C. hypargyrum Minshan lineage,33,104.03
C. hypargyrum Minshan lineage,33.749,103.751
C. hypargyrum Minshan lineage,29.879,101.918
C. hypargyrum Minshan lineage,30.055,101.965
C. hypargyrum Minshan lineage,32.783,103.267
C. hypargyrum Minshan lineage,31.445,110.263
C. hypargyrum Minshan lineage,31.44,110.27
C. hypargyrum Minshan lineage,31.44,110.28
C. oreastrum Taihang-Lyuliang lineage,39.942,115.044
C. oreastrum Taihang-Lyuliang lineage,39.953,115.025
C. oreastrum Taihang-Lyuliang lineage,39.914,114.975
C. oreastrum Taihang-Lyuliang lineage,39.871,115.019
C. oreastrum Taihang-Lyuliang lineage,39.897,115.022
C. oreastrum Taihang-Lyuliang lineage,39.08,113.567
C. oreastrum Taihang-Lyuliang lineage,39.059,113.657
C. oreastrum Taihang-Lyuliang lineage,39.061,113.549
C. oreastrum Taihang-Lyuliang lineage,39.038,113.492
C. oreastrum Taihang-Lyuliang lineage,38.739,111.927
C. oreastrum Changbaishan lineage,42.028,128.066
C. oreastrum Changbaishan lineage,41.026,128.068
C. oreastrum Changbaishan lineage,42.062,128.26
C. oreastrum Changbaishan lineage,41.997,128.029
C. oreastrum Changbaishan lineage,42.34,127.28
C. oreastrum Changbaishan lineage,41.583,127.781
C. oreastrum Changbaishan lineage,42.78,128.51
C. chanetii,47.032,129.005
C. chanetii,47.466,122.713
C. chanetii,35.386,117.324
C. chanetii,38.944,106.008
C. chanetii,40.025,122.979
C. chanetii,38.31,111.478
C. chanetii,38.725,113.802
C. chanetii,37.003,113.978
C. chanetii,40.377,114.358
C. chanetii,39.928,115.377
C. chanetii,41.224,117.142
C. chanetii,38.756,113.581
C. chanetii,37.742,112.38
C. chanetii,37.773,120.666
C. chanetii,37.719,111.634
C. chanetii,41.024,119.571
C. chanetii,38.89,121.375
C. chanetii,39.731,115.541
C. chanetii,40.318,124.655
C. chanetii,40.613,117.463
C. chanetii,39.707,123.035
C. chanetii,41.378,124.899
C. chanetii,42.335,128.14
C. chanetii,41.422,119.61
C. chanetii,41.23,120.067
C. chanetii,40.817,119.846
C. chanetii,40.305,123.294
C. chanetii,41.013,123.11
C. chanetii,44.95,131.936
C. chanetii,45.707,130.552
C. chanetii,45.535,126.928
C. chanetii,41.621,124.779
C. chanetii,47.306,119.863
C. chanetii,40.057,116.065
C. chanetii,40.519,115.779
C. chanetii,40.266,116.115
C. chanetii,40.808,116.732
C. chanetii,39.678,115.824
C. chanetii,40.021,115.482
C. chanetii,40.904,116.624
C. chanetii,33.956,107.81
C. chanetii,35.802,106.216
C. chanetii,38.931,112.132
C. chanetii,37.402,113.988
C. chanetii,40.513,117.509
C. chanetii,40.011,115.049
C. chanetii,40.637,116.656
C. chanetii,40.318,116.372
C. chanetii,35.378,113.187
C. chanetii,36.841,111.949
C. chanetii,37.828,111.47
C. chanetii,35.794,104.077
C. chanetii,39.503,115.599
C. chanetii,37.879,111.618
C. chanetii,37.768,113.457
C. chanetii,38.732,111.86
C. chanetii,40.337,117.581
C. chanetii,35.476,112.445
C. chanetii,37.904,114.338
C. chanetii,42.027,114.655
C. chanetii,38.858,113.831
C. chanetii,33.492,105.086
C. chanetii,40.143,122.225
C. chanetii,40.333,119.407
C. chanetii,39.872,115.579
C. chanetii,40.868,112.546
C. chanetii,37.95,113.867
C. chanetii,36.173,120.626
C. chanetii,38.534,111.322
C. chanetii,37.79,114.124
C. chanetii,40.81,111.162
C. chanetii,37.845,111.292
C. chanetii,40.051,115.338
C. chanetii,39.432,115.032
C. chanetii,40.649,109.465
C. chanetii,40.667,110.757
C. chanetii,39.085,113.608
C. chanetii,40.367,115.974
C. chanetii,40.083,119.729
C. chanetii,38.574,111.882
C. chanetii,40.679,109.221
C. chanetii,40.608,110.457
C. chanetii,40.666,110.57
C. chanetii,40.781,111.281
C. chanetii,40.935,111.552
C. chanetii,44.979,120.355
C. maximowiczii,46.236,119.275
C. maximowiczii,45.757,118.93
C. maximowiczii,45.059,118.971
C. maximowiczii,43.459,116.112
C. maximowiczii,42.233,112.941
C. maximowiczii,50.436,120.091
C. maximowiczii,44.537,121.211
C. maximowiczii,42.94,119.429
C. maximowiczii,49.439,117.631
C. maximowiczii,45.524,116.937
C. maximowiczii,49.595,117.24
C. maximowiczii,43.224,116.627
C. maximowiczii,49.785,119.924
C. maximowiczii,43.435,117.402
C. maximowiczii,42.028,115.671
C. maximowiczii,44.381,117.944
C. maximowiczii,44.564,117.576
C. maximowiczii,43.693,116.896
C. maximowiczii,43.735,116.664
C. naktongense,39.961,122.974
C. naktongense,41.085,116.687
C. naktongense,40.654,114.329
C. naktongense,41.362,115.929
C. naktongense,43.59,117.532
C. naktongense,47.289,119.819
C. naktongense,51.454,124.276
C. naktongense,41.641,115.916
C. naktongense,44.257,118.825
C. naktongense,41.803,114.277
C. naktongense,40.961,114.03
C. naktongense,41.925,114.759
C. naktongense,41.005,114.783
C. naktongense,44.995,120.372
C. naktongense,41.026,110.596
C. naktongense,40.879,112.544
C. naktongense,52.044,123.604
C. naktongense,52.076,122.075
C. naktongense,46.626,119.869
C. naktongense,40.581,113.776
C. naktongense,41.124,112.23
C. naktongense,47.696,125.352
C. naktongense,41.301,115.802
C. naktongense,37.822,111.498
C. naktongense,36.946,112.241
C. naktongense,35.428,111.965
C. naktongense,36.499,112.401
C. naktongense,41.956,117.727
C. naktongense,40.599,117.479
C. naktongense,40.616,115.786
C. naktongense,41.386,119.659
